	blanco	PS 260:265-510	Cef3 5 260:265-510	Cef3 10 260:265-510	Naf 5 260:265-510	Naf 10 260:265-510	Naf 15 260:265-510	Naf 20 260:265-510	Emcorri	WG280 %T
287	390.04	370.036	390.044	383.372	376.705	400.042	393.375	393.375	3.43699889	50.12465668
288	370.036	456.724	406.711	370.037	436.718	190.01	473.393	410.046	3.352787076	52.95035172
289	430.049	466.733	333.364	370.038	413.381	330.029	400.043	293.356	3.2313092	55.41016388
290	310.025	423.383	333.363	393.375	396.708	360.034	390.04	400.044	3.253956074	57.68437195
291	380.038	520.077	460.058	436.717	406.711	300.024	416.717	353.367	3.208350947	60.20805359
292	390.04	586.76	396.712	366.703	390.043	460.056	430.05	413.38	3.14198151	62.0943718
293	380.038	693.462	470.059	500.071	396.709	320.027	440.053	423.384	3.096235352	64.26041412
294	480.061	776.827	520.072	533.409	406.711	370.036	396.709	300.025	2.98800558	66.12650299
295	510.069	973.586	573.421	603.432	370.039	440.051	413.379	420.048	2.902201989	67.99963379
296	420.047	1157.02	673.455	696.797	330.029	270.019	426.716	486.73	2.834115992	70.04199982
297	410.045	1447.22	960.245	906.889	440.053	440.051	416.713	436.717	2.682126702	71.16272736
298	360.034	1647.39	910.22	976.926	413.379	380.038	423.382	480.061	2.684353495	72.47503662
299	480.061	1780.84	1080.31	1120.33	403.379	420.047	430.051	396.71	2.576907673	74.1627655
300	410.045	1951.02	1293.78	1307.12	413.379	370.036	350.033	423.382	2.541461426	75.51767731
301	340.031	2334.79	1210.39	1383.84	450.054	290.022	500.067	456.723	2.457498654	76.94564819
302	420.047	2561.75	1403.86	1614.03	406.714	510.069	390.041	363.368	2.39748	77.87284088
303	360.034	2728.65	1520.62	1764.16	360.035	580.089	373.371	433.385	2.30907	78.82378387
304	570.086	3246.14	1794.19	1934.33	420.048	510.069	400.042	473.394	2.26905	80.01312256
305	360.034	3079.18	1854.25	2137.89	436.717	340.031	413.38	356.701	2.22903	80.91944122
306	430.049	3546.67	2034.44	2054.45	403.379	500.066	446.72	423.382	2.159015	81.82099152
307	740.145	3680.26	2031.1	2545.05	533.411	380.038	410.045	400.043	2.089	82.54047394
308	540.077	3894.02	2194.61	2631.85	423.381	320.027	513.403	453.391	2.09542	83.1991272
309	610.099	4274.84	2331.44	2912.25	450.054	340.031	346.699	463.391	2.10184	83.93270874
310	300.024	4318.27	2715.29	3065.83	426.715	400.042	503.403	430.049	2.06029	84.54941559
311	440.051	4258.13	2468.28	3072.5	540.078	440.051	360.035	426.717	2.01874	85.03229523
312	540.077	4819.48	2601.8	3282.85	516.737	490.064	360.035	483.396	2.01172	85.57793427
313	490.064	4993.27	2545.05	3396.39	476.729	340.031	506.737	430.051	2.0047	86.00643921
314	360.034	5277.41	3065.82	3660.21	566.752	550.08	536.745	453.389	1.973145	86.50711823
315	610.099	4913.07	3039.11	3897.36	670.12	610.099	483.396	506.737	1.94159	86.87857056
316	470.059	5401.05	3132.62	4258.13	993.595	520.072	486.73	506.736	1.90956	87.18294525
317	570.086	5350.91	3379.69	4254.81	2084.48	800.17	566.753	546.746	1.87753	87.55510712
318	540.077	5641.78	3216.07	4301.58	3967.51	1400.52	633.44	520.072	1.84322	87.78924561
319	450.054	5942.7	3496.57	4665.8	6196.83	1941	756.82	710.144	1.80891	88.12541962
320	530.074	5732.03	3783.8	5377.68	10921.5	3373.01	1387.18	843.522	1.80132	88.33364868
321	490.064	6126.64	3803.83	5481.29	20012.2	8589.49	3710.32	1870.93	1.79373	88.528862
322	520.072	6006.21	3666.9	5798.89	34382.5	17228.1	9135.46	5076.85	1.77478	88.74897003
323	490.064	6109.89	4077.78	5788.88	51293.7	32740.4	18954.7	12065.2	1.75583	88.93602753
324	560.083	6895.91	3830.55	5732.02	65350.2	48070.9	32252.3	21764.5	1.75499	89.11177826
325	410.045	6126.61	4147.9	5882.49	78275.1	64691.3	49093.2	34742.2	1.75415	89.31681061
326	520.072	6390.83	4000.91	5829	85765.6	78754	60173.9	46769.2	1.71851	89.36154175
327	620.102	6343.97	4084.43	6026.27	87916.5	83895.3	72269.1	57892	1.68287	89.46946716
328	660.115	6511.21	3797.16	5982.8	90596.8	91197.4	79869	67959.1	1.66355	89.64590454
329	600.095	6718.6	4071.07	5879.14	96202.9	104278	89451.5	78782.5	1.64423	89.74259949
330	560.083	6323.93	3877.32	6216.91	105534	111072	100305	89570.1	1.62814	89.83925629
331	540.077	6404.19	4218.05	6063.07	111669	119844	108995	98582.8	1.61205	89.96324158
332	650.112	6514.55	4191.32	5818.96	116081	127129	113868	105129	1.61231	90.06891632
333	690.126	6645.04	4355.02	6129.94	118152	127651	118686	109228	1.61257	90.09038544
334	590.092	6618.25	4044.34	6267.06	127986	139498	126592	120891	1.59924	90.23290253
335	680.123	6558.05	4468.67	6216.9	139660	152137	138529	133707	1.58591	90.29420471
336	620.102	6527.94	4027.64	6170.08	141972	156169	143646	137071	1.56651	90.34825134
337	590.092	6210.23	3974.19	6119.9	136874	148351	138851	133026	1.54711	90.30892181
338	590.092	6143.33	4030.98	6300.52	129047	139391	131536	125128	1.52987	90.43067932
339	620.102	6507.91	3760.43	6267.08	121376	135660	124232	120139	1.51263	90.54769135
