Pos [°2Th]	Iobs [cts]
433453	1719436
433713	1925333
433973	1083049
434233	2348375
434493	3151054
434753	3139871
435013	3458612
435273	4407482
435533	4808193
435793	5022749
436053	5227404
436313	6922575
436573	7545008
436833	7751788
437093	9021012
437353	10920570
437613	12347370
437873	13742260
438133	16667960
438393	19014200
438653	20140420
438913	25088170
439173	24979690
439433	28282720
439693	31532160
439953	34125100
440213	38060790
440473	38669900
440733	39949300
440993	41164160
441253	41850830
441513	42314220
441773	40280900
442033	38703730
442293	35860350
442553	34008150
442813	31498630
443073	29167600
443333	26589900
443593	23303450
443853	21056930
444113	19774720
444373	17316540
444633	15680450
444893	14832190
445153	14017600
445413	13070000
445673	12828510
445933	12173570
446193	12079900
446453	13073550
446713	13900670
446973	14578650
447233	15276120
447493	16380520
447753	16709010
448013	18239960
448273	19930950
448533	20414000
448793	21758950
449053	24339540
449313	26707110
449573	27979600
449833	29752800
450093	31805370
450353	33328710
450613	34361850
450873	35382740
451133	36385760
451393	36652630
451653	37372780
451913	37084490
452173	36025000
452433	34960340
452693	34150140
452953	31477520
453213	29313000
453473	27951400
453733	25156980
453993	23500350
454253	21088320
454513	19333750
454773	18792810
455033	16259610
455293	14757230
455553	13050310
455813	11787850
456073	10605620
456333	8877485
456593	7712016
456853	6942862
457113	6743964
457373	6115092
457633	4668432
457893	4249965
458153	4012655
458413	3420538
458673	3550119
458933	2434884
459193	2841114
459453	2151188
459713	1235506
459973	2182811
460233	1585028
460493	841638
460753	858516
461013	626080
461273	744209
461533	575810
461793	759299
462053	314380
462313	611847
462573	-380944
462833	112102
463093	715264
463353	856083
463613	310083
463873	-495275
464133	-304481
464393	259967
464653	671340
464913	602132
465173	-284520
465433	-380807
465693	402363
465953	408466
466213	795961
466473	431939
466733	388014
466993	-205409
467253	252986
467513	-681911
467773	-60010
468033	-290603
468293	124205
468553	-3766
468813	433817
469073	503554
469333	349387
469593	-143167
469853	112966
470113	-288555
470373	-431822
470633	497428
470893	464174
471153	335785
471413	60273
471673	64476
471933	279514
472193	43557
472453	208894
472713	293139
472973	300245
473233	559792
473493	229197
473753	11718
474013	234043
474273	190926
474533	-38102
474793	115653
475053	10861
475313	157559
475573	557138
475833	426746
476093	233353
476353	221224
476613	304464
476873	280130
477133	403289
477393	80998
477653	-135930
477913	-4511
478173	180094
478433	508938
478693	480616
478953	415298
479213	945951
479473	264232
479733	-100256
479993	272325
480253	386769
480513	-64956
480773	333677
481033	-176730
481293	-612833
481553	-109567
481813	202065
482073	453847
482333	-9022
482593	175446
482853	106269
483113	-265600
483373	358214
483633	720004
483893	-73295
484153	420320
484413	825200
484673	485701
484933	265074
485193	156945
485453	-15582
485713	-103969
