nm, Abs ps,Abs nf,abs pvt,abs pvtcef3,
448,1.218974,2.550798,1.572612,1.813112,1.52724
447,1.221052,2.550546,1.574835,1.816634,1.530476
446,1.223165,2.553123,1.576957,1.819255,1.532779
445,1.225284,2.554297,1.578998,1.822233,1.536153
444,1.227396,2.558369,1.581435,1.824868,1.539038
443,1.229757,2.552047,1.582802,1.826992,1.541395
442,1.231795,2.55607,1.585714,1.830473,1.544147
441,1.234406,2.563298,1.587979,1.833556,1.547786
440,1.236712,2.562962,1.589899,1.836343,1.550538
439,1.239033,2.56706,1.592172,1.839869,1.553612
438,1.241698,2.569765,1.594571,1.84267,1.556223
437,1.244047,2.570968,1.596029,1.84494,1.559186
436,1.246448,2.567639,1.598263,1.848508,1.562891
435,1.249016,2.567331,1.599776,1.850558,1.565027
434,1.2513,2.568486,1.602219,1.854329,1.567868
433,1.254026,2.574524,1.604376,1.856536,1.571244
432,1.256213,2.569704,1.606591,1.860313,1.574226
431,1.258773,2.578873,1.608723,1.862809,1.577133
430,1.261521,2.578806,1.610187,1.865187,1.580076
429,1.264035,2.580382,1.612909,1.868559,1.583255
428,1.266779,2.581792,1.614788,1.871475,1.58548
427,1.268953,2.573885,1.615827,1.873662,1.58823
426,1.272013,2.586554,1.618366,1.877372,1.592405
425,1.274461,2.591282,1.620663,1.880078,1.59456
424,1.277429,2.589619,1.621854,1.883231,1.597829
423,1.279583,2.589628,1.624146,1.886127,1.600665
422,1.282482,2.597779,1.626383,1.889624,1.603956
421,1.281587,2.601174,1.622221,1.892622,1.607738
420,1.284779,2.601153,1.624838,1.889995,1.60417
419,1.287448,2.602826,1.626252,1.892601,1.607039
418,1.290079,2.607832,1.628682,1.896156,1.610555
417,1.292971,2.60964,1.630753,1.899573,1.613919
416,1.295674,2.613043,1.632528,1.902889,1.617183
415,1.298531,2.614801,1.634906,1.905949,1.620177
414,1.301319,2.618295,1.636929,1.909364,1.623714
413,1.304343,2.618379,1.638466,1.912515,1.626798
412,1.307167,2.623655,1.640689,1.915637,1.630032
411,1.309822,2.621917,1.642354,1.918765,1.633272
410,1.312851,2.625379,1.644693,1.921843,1.636465
409,1.316022,2.632737,1.647151,1.925238,1.640341
408,1.319024,2.636216,1.648699,1.929356,1.643515
407,1.322056,2.638176,1.651086,1.932713,1.646987
406,1.324832,2.639955,1.65292,1.935545,1.650296
405,1.327897,2.643582,1.654766,1.939126,1.653823
404,1.331117,2.649235,1.656945,1.94214,1.657134
403,1.333996,2.647467,1.658177,1.945169,1.660274
402,1.337372,2.653187,1.660965,1.949729,1.664231
401,1.340484,2.658877,1.663088,1.953103,1.667534
400,1.34369,2.662695,1.664814,1.956862,1.671234
399,1.346988,2.666614,1.666808,1.960338,1.675032
398,1.350519,2.668545,1.669129,1.96454,1.678194
397,1.353643,2.670426,1.670621,1.968337,1.682526
396,1.356908,2.67638,1.673022,1.972677,1.686005
395,1.360285,2.67247,1.674439,1.974287,1.68889
394,1.363583,2.680336,1.676549,1.980965,1.693131
393,1.367181,2.688428,1.678551,1.984996,1.696869
392,1.370702,2.69253,1.680753,1.989055,1.700842
391,1.373938,2.696553,1.682245,1.993447,1.704522
390,1.37796,2.698586,1.684817,1.997948,1.708085
389,1.381186,2.7007,1.686256,2.003833,1.712395
388,1.384843,2.708994,1.688723,2.008742,1.716112
387,1.388429,2.706881,1.690175,2.01219,1.719407
386,1.392187,2.715439,1.692599,2.01821,1.723992
385,1.396275,2.717662,1.694503,2.025733,1.727819
384,1.400751,2.708121,1.729949,2.01043,1.749173
383,1.413057,2.65438,1.739745,2.081849,1.780068
382,1.417572,2.810768,1.776253,2.159346,1.791113
381,1.424631,2.657737,1.737296,2.094153,1.779166
380,1.42762,2.747399,1.756553,2.102261,1.773728
379,1.415382,2.580342,1.728058,2.053362,1.76524
378,1.426882,2.683826,1.730926,2.087841,1.764216
377,1.432671,2.614447,1.73156,2.072592,1.780024
376,1.433385,2.67159,1.739189,2.087503,1.78292
375,1.435929,2.626261,1.738214,2.120119,1.797088
374,1.441349,2.625948,1.732678,2.106259,1.799399
373,1.442212,2.709441,1.753065,2.118761,1.790595
372,1.446791,2.645915,1.738458,2.103699,1.799763
371,1.448103,2.518581,1.728642,2.093647,1.793915
370,1.456063,2.708952,1.736553,2.112274,1.793992
369,1.461367,2.664521,1.74649,2.137607,1.824415
368,1.470363,2.733481,1.748907,2.161264,1.827573
367,1.472787,2.685696,1.748468,2.138738,1.823821
366,1.473675,2.737498,1.746739,2.14702,1.83071
365,1.479982,2.670187,1.761992,2.147309,1.83384
364,1.485058,2.691999,1.755971,2.163801,1.838745
363,1.481567,2.619902,1.747289,2.155164,1.827735
362,1.495775,2.744548,1.760635,2.167585,1.845249
361,1.501745,2.79085,1.778867,2.190734,1.86326
360,1.506759,2.728429,1.766788,2.192105,1.852176
359,1.507857,2.801408,1.767543,2.212112,1.872301
358,1.516131,2.630486,1.765185,2.215376,1.867182
357,1.520356,2.717047,1.768172,2.18724,1.872261
356,1.5263,2.788231,1.777069,2.20187,1.895873
355,1.519054,2.61115,1.764346,2.187324,1.870788
354,1.531663,2.663353,1.776487,2.195992,1.886814
353,1.539985,2.710159,1.785829,2.243923,1.904584
352,1.539164,2.718896,1.797551,2.261213,1.90869
351,1.544685,2.694949,1.79134,2.230478,1.925897
350,1.559591,2.731744,1.799672,2.221255,1.921974
349,1.558598,2.818608,1.804993,2.263229,1.932441
348,1.562522,2.719689,1.800372,2.315185,1.951197
347,1.549124,2.628305,1.7799,2.21526,1.929692
346,1.575216,2.765626,1.783918,2.294268,1.950266
345,1.583468,2.716556,1.809644,2.303951,1.965557
344,1.590976,2.854546,1.811239,2.296071,1.958679
343,1.58802,2.774365,1.816788,2.344958,1.986287
342,1.597529,2.839149,1.812032,2.378867,2.002035
341,1.602039,2.922405,1.818073,2.324781,2.007129
340,1.605391,2.591293,1.828264,2.395299,1.99547
339,1.604998,2.607565,1.81451,2.311716,2.023914
338,1.630189,2.805019,1.853784,2.413055,2.044297
337,1.639784,3.029134,1.833581,2.461177,2.047146
336,1.645059,3.066999,1.885675,2.502279,2.051011
335,1.639074,3.37778,1.864191,2.43261,2.0803
334,1.671983,2.993407,1.847875,2.516285,2.082556
333,1.652861,2.852243,1.862003,2.479126,2.119068
332,1.664539,3.140877,1.898175,2.46853,2.108106
331,1.651316,2.692139,1.837016,2.38592,2.047833
330,1.6664,2.717946,1.870009,2.543335,2.107112
329,1.672595,2.882949,1.868918,2.510367,2.135572
328,1.696921,3.07148,1.893728,2.523861,2.15791
327,1.71104,3.174738,1.908077,2.561801,2.167869
326,1.724827,3.236042,1.923935,2.5548,2.174715
325,1.731419,3.351284,1.930181,2.582678,2.178351
324,1.740846,3.457777,1.938532,2.60078,2.195194
323,1.7436,3.370593,1.938499,2.5908,2.204486
322,1.753535,3.59911,1.947758,2.633872,2.219595
321,1.76157,3.457878,1.956134,2.639432,2.236029
320,1.768265,3.652297,1.965195,2.66572,2.246869
319,1.776812,3.566946,1.974294,2.679651,2.262056
318,1.7842,3.691919,1.979109,2.706642,2.271413
317,1.790801,3.633826,1.991609,2.724003,2.292227
316,1.803142,3.551597,1.999895,2.761142,2.308131
315,1.808523,3.522907,2.004393,2.744756,2.318787
314,1.817089,3.583006,2.018296,2.786483,2.331322
313,1.826138,3.672081,2.031329,2.810384,2.356492
312,1.836182,3.759311,2.044702,2.841397,2.378096
311,1.843371,3.784063,2.054994,2.862224,2.393336
310,1.851128,3.583224,2.068135,2.900644,2.417991
309,1.863272,3.599669,2.086246,2.928282,2.434859
308,1.871412,3.634528,2.099339,2.950281,2.460856
307,1.881624,3.634633,2.119974,2.969521,2.470776
306,1.893351,3.672488,2.138693,3.023685,2.508406
305,1.904161,3.653359,2.171232,3.060845,2.539416
304,1.917052,3.617063,2.20209,3.13419,2.58364
303,1.930204,3.600164,2.24355,3.176288,2.613737
302,1.943214,3.736342,2.301605,3.244244,2.670703
301,1.9574,3.672644,2.374585,3.316096,2.725032
300,1.974472,3.617135,2.475999,3.435291,2.792358
299,1.993084,3.61716,2.578937,3.402316,2.875221
298,2.016828,3.634876,2.705457,3.617147,2.954389
297,2.043129,3.583505,2.800025,3.672446,3.037145
296,2.072331,3.736082,2.832992,3.759563,3.085417
295,2.103036,3.713696,2.813329,3.810606,3.095648
294,2.129721,3.652789,2.797032,3.735763,3.133703
293,2.176772,3.63415,2.841175,3.759088,3.145129
292,2.208646,3.691927,2.949689,4.059904,3.265959
291,2.245433,3.599098,3.027299,3.783622,3.273708
290,2.297828,3.615891,3.181322,3.972438,3.422767
289,2.33054,3.712557,3.289311,3.972194,3.598614
288,2.369077,3.582152,3.400732,4.110426,3.691296
287,2.414578,3.734615,3.481889,4.712338,3.809248
286,2.458227,3.712292,3.712292,5.013322,4.013322
285,2.505268,3.651396,3.971731,4.058881,4.168026
284,2.565978,3.690917,3.837045,4.314166,4.110047
283,2.623827,3.535872,3.690774,3.89905,3.808873
282,2.72965,3.565793,3.899008,4.109861,4.2348
281,2.860616,3.597931,4.012905,4.313935,4.167807
280,3.026023,3.597822,3.971402,4.535674,3.898852
279,3.264641,3.597855,4.012829,4.535708,4.012829
278,3.614863,3.550405,4.058561,4.058561,4.313833
277,3.734155,3.651181,3.78246,4.313939,4.012909
276,3.808726,3.565688,3.933664,4.535724,4.167748
275,3.550587,3.468917,3.734231,3.866857,3.690765
274,3.712098,3.56597,4.058886,3.971735,4.013128
273,3.782831,3.651552,3.934098,4.71225,4.168182
272,3.899332,3.633064,4.013276,4.411216,4.168177
271,3.734589,3.536222,4.013343,4.411283,4.712313
270,3.782974,3.691204,4.013423,4.168325,4.110333
269,3.758218,3.671068,4.168392,4.31452,4.168392
268,3.691393,3.651885,4.05937,4.536491,4.536491
267,3.735111,3.522503,3.783416,3.899921,3.867737
266,3.691835,3.671631,3.900111,4.411994,4.235903
265,3.783698,3.652419,3.972754,4.169049,4.537025
264,3.900191,3.810014,3.900191,4.713104,4.412074
