ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
213.664276	849	1	15	28	31	847	654	701
213.871124	865	0	18	32	27	882	639	651
214.077957	840	2	17	12	40	879	743	702
214.28479	880	1	23	25	31	872	694	698
214.491638	879	1	28	25	26	913	688	614
214.698471	821	0	13	33	26	826	673	667
214.905319	853	0	18	17	20	890	675	641
215.112152	816	2	18	25	31	821	662	652
215.318985	914	0	23	33	29	807	713	655
215.525833	892	0	20	23	25	829	651	699
215.732666	849	2	22	32	40	876	664	649
215.939514	857	1	23	28	31	889	703	628
216.146347	923	1	16	24	23	891	638	677
216.35318	853	0	22	36	27	887	646	608
216.560028	908	1	24	17	26	871	655	629
216.766861	847	0	19	18	29	842	676	652
216.9737	889	1	23	21	28	877	707	602
217.180542	802	2	20	21	18	828	692	656
217.387375	864	0	21	26	28	841	724	637
217.594208	854	0	21	24	27	830	672	636
217.801056	874	0	19	30	32	831	703	602
218.007889	891	1	14	29	32	795	693	665
218.214737	805	1	19	28	32	829	673	633
218.42157	800	0	24	27	27	849	700	624
218.6284	805	1	26	24	25	819	602	670
218.835251	889	0	20	31	23	803	721	641
219.042084	773	0	15	26	29	818	659	606
219.248932	787	1	23	18	35	805	693	646
219.455765	812	1	13	31	20	742	657	636
219.6626	796	0	26	26	26	864	668	605
219.869446	847	0	19	28	24	821	699	673
220.076279	828	0	25	22	30	786	692	610
220.283112	778	1	19	19	29	796	630	631
220.48996	790	2	20	20	20	851	616	615
220.6968	776	1	17	23	33	790	608	626
220.903625	832	1	21	17	31	829	652	620
221.110474	798	1	11	25	25	844	601	628
221.3173	841	0	16	23	30	782	669	584
221.524155	827	0	9	19	28	844	621	577
221.730988	811	1	20	17	29	801	569	571
221.93782	852	3	20	25	34	782	612	630
222.144669	876	0	16	28	37	792	593	597
222.3515	832	1	26	33	30	787	629	625
222.55835	793	0	23	33	20	846	639	592
222.765182	831	1	26	16	15	843	652	587
222.972015	783	2	16	23	29	810	637	580
223.178864	762	2	18	22	30	822	615	575
223.3857	771	2	27	21	27	788	636	581
223.592529	776	2	20	22	25	786	620	627
223.799377	787	2	25	22	26	773	621	653
224.00621	793	0	13	24	23	799	622	619
224.213043	777	2	16	26	27	784	609	580
224.419891	758	1	18	27	34	785	583	623
224.626724	779	2	26	16	25	739	607	616
224.833572	762	0	16	21	25	747	565	600
225.0404	770	0	18	29	38	820	596	552
225.247238	764	1	18	29	27	810	625	637
225.454086	747	1	21	19	31	754	632	556
225.660919	801	0	31	30	20	849	650	575
225.867767	803	0	13	23	21	785	568	573
226.0746	775	1	22	34	26	796	628	563
226.281433	770	1	23	21	23	801	576	587
226.488281	786	2	14	36	26	776	582	578
226.695114	775	1	22	28	29	758	632	590
226.901947	787	0	18	23	21	766	617	543
227.1088	766	0	16	24	18	754	586	576
227.315628	768	0	19	25	29	775	585	584
227.522461	713	1	27	21	27	757	605	588
227.729309	755	1	19	21	26	841	612	592
227.936142	750	0	22	29	32	774	591	594
228.14299	760	0	18	36	28	767	626	542
228.349823	750	2	21	34	34	770	591	559
228.556656	796	0	18	18	31	769	601	574
228.7635	742	2	21	18	35	768	601	597
228.970337	738	3	26	21	35	767	590	597
229.177185	760	2	21	27	29	734	565	563
229.384018	779	1	12	31	23	735	594	566
229.590851	741	1	12	28	21	725	543	569
229.7977	744	1	18	32	30	730	567	511
230.004532	753	0	19	29	31	745	585	567
230.211365	721	0	18	23	25	737	586	568
230.418213	738	1	30	33	21	751	588	582
230.625046	702	1	19	27	28	734	649	559
230.831879	709	1	21	22	18	720	558	553
231.038727	713	2	20	25	26	747	573	548
231.24556	708	1	23	22	17	746	572	535
231.452408	692	1	21	15	34	732	564	598
231.659241	795	1	22	25	26	742	610	514
231.866074	744	1	17	19	29	738	555	539
232.072922	732	0	22	18	24	718	565	608
232.279755	764	0	30	26	30	719	558	500
232.4866	722	3	20	24	24	692	597	546
232.693436	765	2	11	29	30	743	542	572
232.900269	763	1	18	19	30	697	545	536
233.107117	706	0	18	32	18	723	529	527
233.31395	690	1	23	19	15	716	598	528
233.520782	739	2	15	18	31	717	548	530
233.727631	732	3	19	26	28	702	573	546
233.934464	705	1	18	33	21	679	605	511
234.1413	691	0	18	14	26	744	563	534
234.348145	700	0	20	25	22	688	570	530
234.554977	644	0	21	24	24	688	596	567
234.761826	689	2	24	22	28	750	542	542
234.968658	696	2	16	16	18	739	593	536
235.175491	678	0	14	28	19	704	576	531
235.382339	702	0	17	31	26	664	561	531
235.589172	675	0	17	25	28	730	544	506
235.796021	709	1	24	32	29	745	568	517
236.002853	656	1	19	16	36	661	547	514
236.209686	696	1	24	28	20	685	544	503
236.416534	712	0	25	24	24	741	518	490
236.623367	655	4	19	18	25	704	539	526
236.8302	661	0	19	20	20	669	546	516
237.037048	700	2	12	26	22	677	566	531
237.243881	676	0	21	24	27	664	558	528
237.450714	655	0	13	26	20	684	530	513
237.657562	679	2	16	30	27	722	550	561
237.8644	667	0	18	23	30	697	540	522
238.071243	744	2	19	28	24	706	511	509
238.278076	670	2	22	28	32	693	520	523
238.484909	684	2	20	18	25	682	535	471
238.691757	676	2	22	30	32	647	567	497
238.89859	665	3	18	31	34	687	536	506
239.105438	702	0	22	26	24	664	504	470
239.312271	687	0	14	28	24	713	517	476
239.5191	718	1	16	17	31	656	526	479
239.725952	727	0	16	21	21	687	530	493
239.932785	605	2	18	31	18	667	520	502
240.139618	662	4	21	24	30	664	520	505
240.346466	694	1	19	20	13	688	519	516
240.5533	676	5	22	22	19	641	532	490
240.760132	647	0	15	28	23	652	533	504
240.96698	674	0	15	24	35	632	511	468
241.173813	667	0	24	20	27	612	528	454
241.380661	662	0	19	31	18	623	479	473
241.5875	678	1	20	28	27	651	504	496
241.794327	638	0	11	22	33	660	519	486
242.001175	649	1	19	21	30	683	523	454
242.208008	617	1	17	18	21	608	502	453
242.414856	651	0	18	26	21	655	481	510
242.621689	705	0	19	23	19	612	501	495
242.828522	679	2	15	31	21	701	554	498
243.03537	680	2	15	19	29	644	539	466
243.2422	624	0	19	30	33	628	506	461
243.449036	650	0	22	24	31	675	542	491
243.655884	643	0	26	14	20	666	497	437
243.862717	663	1	17	17	27	596	536	453
244.06955	658	0	18	27	26	656	497	485
244.2764	635	1	12	34	16	684	514	481
244.483231	688	1	15	22	20	635	485	477
244.690079	685	0	25	23	26	622	505	485
244.896912	623	0	13	20	24	653	460	455
245.103745	690	0	14	17	30	625	505	452
245.3106	655	0	18	21	23	600	479	497
245.517426	686	2	13	20	32	645	518	433
245.724274	603	2	10	26	24	693	487	419
245.9311	622	3	11	29	14	630	475	444
246.137939	610	1	22	17	31	632	499	485
246.344788	643	0	18	23	21	620	491	484
246.55162	635	0	23	25	30	596	482	480
246.758453	624	2	22	20	21	633	489	434
246.9653	612	0	17	21	32	648	490	474
247.172134	596	1	22	20	26	632	514	416
247.378967	660	1	19	27	33	626	438	462
247.585815	637	0	21	30	26	631	544	462
247.792648	647	1	33	23	25	646	470	463
247.9995	587	0	14	24	25	617	498	470
248.206329	596	1	17	19	36	608	487	495
248.413162	621	1	15	24	24	592	476	422
248.62001	612	0	22	21	31	601	467	442
248.826843	657	1	16	24	20	602	456	437
249.033691	602	1	17	21	23	618	507	465
249.240524	578	2	18	22	22	604	495	435
249.447357	594	1	10	24	31	535	460	420
249.6542	629	1	14	24	26	628	484	451
249.861038	572	1	22	16	33	652	447	457
250.067871	612	0	19	23	20	636	490	468
250.274719	615	0	16	21	14	629	476	440
250.481552	610	2	14	17	18	601	466	449
250.688385	621	1	25	28	23	582	441	454
250.895233	605	2	19	19	27	581	431	388
251.102066	584	2	18	14	25	560	471	422
251.308914	592	1	12	19	30	605	464	451
251.515747	597	0	20	17	14	592	507	449
251.72258	578	4	10	21	26	603	445	443
251.929428	600	0	18	28	21	587	484	473
252.136261	590	1	18	23	33	597	432	400
252.343109	572	2	16	20	29	625	461	441
252.549942	642	1	15	15	26	619	475	476
252.756775	614	2	24	23	18	603	461	435
252.963623	560	0	16	21	25	578	429	442
253.170456	596	1	11	17	22	616	430	386
253.377289	560	3	29	25	17	584	425	448
253.584137	604	1	21	14	27	575	424	412
253.79097	612	2	17	25	26	562	492	389
253.9978	586	1	14	30	23	604	440	368
254.204651	634	2	14	21	22	577	432	445
254.411484	593	3	7	12	18	554	441	387
254.618332	569	1	12	20	22	579	433	409
254.825165	538	2	12	24	23	544	445	389
255.032	602	1	12	21	26	569	446	421
255.238846	591	1	20	24	20	590	432	423
255.445679	573	0	14	18	31	590	486	423
255.652527	568	2	17	28	23	534	425	415
255.85936	570	2	17	25	23	552	385	389
256.0662	595	1	15	14	26	544	444	381
256.273041	561	1	23	19	16	537	410	452
256.479858	582	1	18	17	16	612	460	406
256.6867	554	1	15	23	27	546	462	435
256.893555	565	2	24	17	28	587	431	412
257.1004	561	2	11	26	25	581	436	396
257.30722	594	0	17	11	23	575	442	411
257.514069	522	0	15	15	19	532	434	427
257.720917	562	1	14	23	24	570	408	402
257.927734	558	0	13	18	24	568	428	411
258.134583	531	0	14	22	26	524	409	434
258.341431	566	0	15	28	27	534	447	413
258.548248	571	1	13	17	21	614	422	409
258.7551	566	1	18	18	23	569	463	413
258.961945	569	2	18	23	24	529	463	383
259.168762	543	1	28	23	23	525	418	460
259.3756	553	0	20	23	25	575	429	383
259.582458	585	0	14	18	27	594	430	460
259.7893	509	0	12	25	24	560	446	403
259.996124	500	0	17	18	20	568	386	379
260.202972	550	0	16	22	19	505	404	396
260.409821	537	2	18	30	17	512	415	387
260.616638	545	0	17	25	37	578	411	370
260.8235	540	0	21	22	23	552	411	381
261.030334	527	1	15	20	24	575	443	355
261.237152	552	1	14	27	14	506	426	413
261.444	539	0	14	27	21	565	429	406
261.650848	556	0	16	24	26	513	421	361
261.857666	539	3	27	21	25	523	418	395
262.0645	548	0	11	19	25	549	422	389
262.271362	563	0	15	18	19	537	409	396
262.47818	515	5	14	25	20	550	439	426
262.685028	527	0	21	23	24	527	438	386
262.891876	541	3	14	19	21	541	376	370
263.0987	540	1	19	17	22	521	377	396
263.305542	561	1	16	19	23	539	413	382
263.5124	546	2	21	16	25	506	415	381
263.719238	545	0	14	8	20	553	407	372
263.926056	521	0	20	16	21	509	391	401
264.1329	517	1	21	14	23	494	404	398
264.339752	560	0	13	24	24	472	415	385
264.54657	507	0	17	27	20	478	383	368
264.753418	521	1	15	16	21	524	403	367
264.960266	504	0	15	22	18	479	385	350
265.167084	517	1	17	23	21	497	401	382
265.373932	537	0	18	25	29	560	415	423
265.58078	499	1	16	18	16	478	413	377
265.7876	538	1	20	16	21	534	364	401
265.994446	557	0	12	21	35	523	403	354
266.2013	495	0	17	15	23	479	402	382
266.408142	515	1	18	20	28	501	426	388
266.61496	520	2	21	21	20	521	346	399
266.8218	474	4	17	27	16	508	377	358
267.028656	508	1	15	23	16	489	424	401
267.235474	523	0	11	18	16	488	380	370
267.442322	482	0	16	23	19	513	383	403
267.64917	485	0	12	21	13	536	415	384
267.856	500	2	15	24	20	492	348	345
268.062836	525	0	19	24	24	515	391	383
268.269684	499	2	15	14	27	513	409	345
268.4765	498	1	19	22	13	481	363	362
268.68335	521	1	16	20	29	499	428	361
268.8902	495	2	12	23	27	510	394	350
269.097015	504	1	13	27	17	489	351	406
269.303864	491	0	12	22	26	469	377	379
269.5107	501	2	15	20	21	506	362	408
269.717529	493	0	17	20	23	488	353	358
269.924377	486	1	7	28	21	541	366	386
270.131226	487	0	18	25	25	522	355	353
270.338074	478	0	18	25	23	500	352	371
270.5449	476	1	16	11	25	495	362	316
270.75174	539	1	20	16	28	524	386	361
270.9586	490	2	18	11	27	505	388	361
271.1654	460	2	21	19	22	480	366	384
271.372253	534	0	13	10	22	499	361	360
271.5791	464	2	15	18	18	481	391	348
271.785919	484	0	13	20	18	512	384	345
271.992767	461	0	22	22	16	454	398	367
272.199615	536	0	26	14	17	480	403	363
272.406433	492	0	16	21	21	478	384	361
272.613281	494	2	17	15	26	473	354	339
272.820129	455	2	20	18	23	452	355	338
273.026978	477	1	11	14	26	471	390	352
273.2338	491	0	21	16	20	494	392	344
273.440643	447	0	23	19	23	490	358	328
273.6475	491	0	19	17	28	499	387	334
273.8543	499	3	14	18	17	454	372	336
274.061157	481	0	18	19	31	474	363	325
274.268	509	1	11	23	20	458	370	333
274.474823	499	0	13	17	27	498	380	333
274.681671	443	2	18	16	20	454	381	323
274.888519	421	1	14	25	28	463	364	378
275.095337	458	1	18	27	22	438	339	332
275.3022	438	1	19	20	30	479	357	328
275.509033	493	0	10	20	23	440	353	331
275.715851	462	1	9	19	28	457	353	349
275.9227	502	1	11	27	24	460	360	329
276.129547	453	0	12	21	20	449	364	322
276.336365	456	0	13	17	23	485	386	342
276.5432	441	2	18	17	22	472	354	313
276.750061	465	0	6	20	21	415	360	328
276.9569	475	1	15	18	15	461	397	339
277.163727	472	0	20	18	29	480	369	364
277.370575	442	0	19	11	17	458	335	314
277.577423	469	2	10	28	15	472	370	325
277.784241	441	1	16	9	23	444	366	335
277.9911	451	0	18	16	21	443	350	350
278.197937	479	1	11	18	27	434	325	343
278.404755	493	0	16	18	31	450	337	317
278.6116	418	0	13	19	23	500	352	313
278.818451	493	1	18	27	22	424	329	355
279.025269	422	1	12	18	22	448	326	319
279.232117	452	0	20	20	17	457	360	311
279.438965	469	0	15	27	22	411	345	320
279.6458	449	0	20	11	23	447	372	324
279.852631	422	0	15	20	21	438	334	321
280.059479	440	0	14	22	11	450	374	355
280.266327	452	1	14	11	19	479	319	307
280.473145	477	1	19	18	29	433	328	339
280.68	421	0	23	23	33	443	369	293
280.886841	442	0	15	26	21	422	361	344
281.093658	413	1	9	15	21	467	342	322
281.3005	437	0	9	15	24	446	348	298
281.507355	409	0	11	16	15	437	355	299
281.714172	474	0	11	27	24	428	344	303
281.921021	439	1	20	19	20	414	348	319
282.127869	435	0	20	23	20	424	331	337
282.3347	434	1	14	15	14	461	343	333
282.541534	388	1	13	21	21	412	322	310
282.748383	426	1	16	21	24	414	334	274
282.9552	477	1	20	21	16	446	338	325
283.162048	432	0	8	24	20	401	353	324
283.3689	421	1	15	20	22	441	362	331
283.575745	448	0	14	21	20	441	343	303
283.782562	426	0	12	13	16	467	325	305
283.9894	429	0	14	17	23	427	316	300
284.196259	424	1	17	19	21	448	284	306
284.403076	405	0	9	17	11	438	322	300
284.609924	441	0	14	16	16	399	329	305
284.816772	418	2	8	17	18	399	316	306
285.0236	428	3	19	15	22	427	327	287
285.230438	483	1	12	19	20	418	316	283
285.4373	415	0	27	21	20	425	344	277
285.6441	423	0	20	12	25	403	339	302
285.850952	417	0	13	12	22	399	316	307
286.0578	413	0	10	18	24	395	295	291
286.264648	442	1	5	15	15	461	339	277
286.471466	388	0	15	16	17	390	367	301
286.6783	437	1	16	16	21	410	316	297
286.885162	439	0	8	18	22	418	311	289
287.09198	387	1	12	11	28	412	315	280
287.298828	437	2	22	20	14	423	349	290
287.505676	396	0	14	10	13	420	298	322
287.7125	439	2	13	23	15	395	296	290
287.919342	440	2	13	18	26	425	331	305
288.1262	444	1	11	18	21	399	336	289
288.333	423	3	13	18	19	459	311	302
288.539856	375	1	19	17	21	415	281	293
288.7467	394	1	9	24	21	410	319	285
288.953522	423	1	9	21	22	433	328	335
289.16037	397	2	11	16	20	394	302	295
289.367218	370	0	17	23	19	407	322	286
289.574036	423	2	15	13	20	379	310	299
289.780884	423	1	11	22	17	386	287	323
289.987732	416	1	19	20	30	407	311	298
290.19458	376	0	7	26	25	355	321	291
290.4014	416	0	15	21	19	414	305	280
290.608246	413	1	17	18	28	382	296	281
290.8151	418	2	19	21	19	408	301	291
291.0219	408	0	7	9	18	376	285	271
291.22876	437	0	11	16	25	380	294	295
291.4356	390	1	18	19	20	418	303	272
291.642426	369	0	13	19	22	392	327	276
291.849274	381	1	11	19	20	423	335	257
292.056122	428	1	16	23	21	405	286	273
292.262939	411	0	16	13	17	363	290	269
292.4698	415	1	15	22	21	376	266	297
292.676636	377	1	21	19	24	374	304	285
292.883484	380	0	7	12	21	417	294	279
293.0903	400	2	9	22	32	397	284	305
293.29715	391	0	17	13	21	390	316	298
293.504	389	2	22	15	14	376	326	275
293.710815	390	1	15	20	14	393	310	251
293.917664	404	1	16	22	17	406	311	301
294.1245	421	0	14	21	21	398	272	266
294.331329	396	0	12	19	14	404	295	285
294.538177	389	0	15	23	22	381	296	277
294.745026	378	0	10	10	21	398	287	239
294.951843	389	2	17	28	18	393	281	297
295.1587	388	0	17	17	23	363	282	263
295.36554	358	2	10	15	26	372	261	256
295.572357	395	0	15	21	16	361	288	272
295.7792	384	0	8	12	20	356	285	244
295.986053	409	0	8	14	23	401	269	248
296.192871	396	0	17	10	20	337	323	257
296.399719	410	0	11	20	16	381	324	277
296.606567	380	0	15	19	13	374	301	268
296.813416	373	1	12	17	21	393	263	289
297.020233	353	1	7	12	25	365	264	256
297.227081	381	1	17	16	23	385	275	274
297.433929	393	0	15	11	18	389	264	249
297.640747	428	2	18	15	17	364	302	264
297.8476	369	0	17	17	19	363	313	289
298.054443	394	1	13	18	17	370	299	239
298.261261	398	0	10	18	16	411	300	263
298.4681	379	2	17	18	21	367	299	258
298.674957	372	1	19	19	21	353	300	262
298.881775	373	0	11	22	17	380	269	271
299.088623	374	3	7	19	19	370	242	252
299.295471	356	1	11	17	13	352	272	262
299.502319	354	0	10	16	18	370	308	270
299.709137	326	0	10	13	20	335	255	259
299.916	371	0	10	12	8	383	297	270
300.122833	345	0	10	15	18	352	306	275
300.329651	365	1	15	12	18	412	272	271
300.5365	333	0	15	13	18	346	290	242
300.743347	321	0	15	17	19	347	281	298
300.950165	388	0	15	13	17	386	279	256
301.157	359	0	13	19	23	366	269	272
301.363861	353	0	14	17	21	365	245	246
301.570679	368	3	12	16	13	367	280	267
301.777527	383	0	12	23	20	338	306	256
301.984375	361	1	12	16	15	328	289	227
302.1912	365	1	13	15	23	368	261	269
302.398041	339	2	20	11	23	352	274	244
302.6049	383	0	17	17	24	339	287	229
302.8117	379	2	16	17	11	348	227	257
303.018555	333	1	12	15	18	346	272	244
303.2254	358	1	15	13	24	347	284	270
303.432251	374	0	14	23	17	350	268	254
303.639069	327	0	12	13	20	376	291	206
303.845917	367	0	10	14	10	353	285	226
304.052765	350	2	9	15	24	348	248	244
304.259583	384	1	17	17	20	326	282	243
304.466431	343	2	11	18	13	330	236	236
304.673279	341	0	16	20	20	295	266	260
304.8801	348	0	14	15	23	326	277	234
305.086945	343	0	10	25	11	340	282	237
305.2938	345	1	11	19	27	372	287	261
305.5006	324	2	20	17	18	355	277	262
305.707458	337	0	7	20	17	318	270	259
305.9143	337	0	13	14	14	395	260	217
306.121155	361	0	15	20	20	323	273	211
306.327972	358	0	16	19	13	329	265	246
306.534821	364	0	20	20	9	322	267	250
306.741669	368	1	17	9	20	306	268	261
306.9485	342	0	19	17	25	337	248	218
307.155334	356	1	13	14	16	307	272	240
307.362183	355	1	12	27	19	325	252	190
307.569	331	2	18	13	17	362	242	236
307.775848	339	1	12	18	15	339	239	253
307.9827	326	0	11	23	15	341	253	256
308.1895	323	0	12	10	16	356	230	237
308.396362	351	2	15	21	21	364	260	227
308.6032	372	1	14	11	25	346	276	229
308.810028	334	0	12	23	14	333	224	262
309.016876	333	1	9	18	22	332	221	247
309.223724	335	1	7	19	17	316	229	242
309.430542	352	0	14	14	17	304	251	201
309.6374	331	0	9	19	22	357	225	190
309.844238	334	1	9	15	15	311	242	225
310.0511	324	1	13	17	19	332	228	233
310.2579	334	0	11	16	21	302	263	213
310.464752	322	2	14	16	18	338	243	239
310.6716	300	0	15	12	17	322	261	244
310.878418	325	0	9	19	20	348	263	220
311.085266	315	0	11	12	16	338	221	260
311.2921	340	1	7	22	19	337	247	227
311.498932	338	1	19	14	25	316	263	206
311.70578	313	0	12	12	17	324	229	238
311.912628	367	2	18	15	22	304	260	223
312.119446	340	0	9	11	19	295	253	236
312.3263	326	0	11	22	24	323	242	228
312.533142	302	2	7	15	17	346	246	237
312.74	329	0	12	12	18	292	274	237
312.9468	321	0	9	17	19	301	242	235
313.153656	310	0	12	14	17	350	248	234
313.3605	295	1	8	8	24	300	281	226
313.567322	344	1	12	18	16	345	228	240
313.77417	326	0	11	16	21	310	266	231
313.981018	305	0	11	15	15	317	224	247
314.187836	341	1	16	8	22	335	248	254
314.394684	302	1	15	15	17	327	232	213
314.601532	329	0	10	10	16	317	237	215
314.80835	339	1	14	10	15	303	219	233
315.0152	320	1	12	13	20	321	210	224
315.222046	316	0	9	19	17	312	269	214
315.428864	290	1	13	10	17	317	266	217
315.6357	301	2	13	15	17	333	254	223
315.84256	310	0	15	18	22	300	243	217
316.049377	310	1	14	12	15	317	231	217
316.256226	280	0	10	16	23	307	229	227
316.463074	333	0	14	11	16	298	248	227
316.669922	324	0	9	12	20	283	232	225
316.87674	294	1	11	19	18	311	228	232
317.0836	301	0	11	13	21	297	258	222
317.290436	290	0	11	16	18	323	249	196
317.497253	314	1	11	21	22	288	230	211
317.7041	303	0	15	19	16	316	230	214
317.91095	297	1	13	14	14	322	210	202
318.117767	301	1	7	22	18	324	209	223
318.324615	317	0	13	20	16	322	241	226
318.531464	297	2	12	15	20	310	228	211
318.738281	293	0	12	15	25	309	236	212
318.945129	329	0	10	24	17	297	228	230
319.151978	291	1	6	20	21	314	225	213
319.358826	314	0	11	20	24	274	230	224
319.565643	301	0	16	14	17	303	239	202
319.7725	284	0	15	15	22	295	232	214
319.97934	317	0	23	23	22	280	207	195
320.186157	281	2	9	17	27	276	200	188
320.393	287	0	14	18	24	288	238	186
320.599854	291	0	21	14	17	309	225	180
320.806671	284	0	12	24	17	297	216	200
321.013519	280	1	7	19	20	287	223	232
321.220367	259	0	14	14	20	289	226	222
321.4272	295	1	10	12	19	295	221	193
321.634033	292	1	9	19	17	291	215	205
321.840881	273	0	10	13	18	298	241	174
322.0477	317	1	11	17	17	286	240	206
322.254547	308	1	13	15	15	281	216	181
322.4614	300	0	15	19	16	303	248	228
322.6682	289	0	13	12	16	286	181	173
322.875061	297	0	11	18	17	314	249	213
323.0819	317	2	13	12	12	275	224	194
323.288757	297	0	11	14	15	282	219	196
323.495575	302	0	9	17	18	309	213	219
323.702423	282	0	11	13	25	294	225	199
323.909271	281	0	15	14	18	279	206	203
324.1161	313	0	19	9	17	308	220	235
324.322937	285	1	9	9	18	259	214	208
324.5298	253	0	10	14	14	303	232	208
324.7366	290	0	14	12	16	292	222	222
324.943451	294	0	13	13	20	301	213	197
325.1503	289	1	14	14	15	286	184	192
325.357117	272	3	16	19	13	279	208	195
325.563965	290	0	17	14	17	269	200	226
325.7708	310	1	11	16	12	291	220	195
325.977661	292	1	9	15	23	299	219	215
326.184479	269	0	11	19	23	259	214	213
326.391327	260	2	13	15	18	287	231	188
326.598175	248	1	11	12	21	285	215	185
326.805	282	0	12	8	12	296	194	190
327.011841	299	1	19	14	20	247	223	200
327.2187	258	2	12	18	14	234	247	198
327.4255	308	1	11	21	29	280	220	195
327.632355	319	2	8	12	19	287	196	191
327.8392	287	0	19	15	11	284	191	209
328.046021	289	0	17	14	21	271	220	194
328.252869	274	0	14	15	23	300	215	205
328.459717	267	0	17	11	20	252	201	173
328.666534	283	1	13	16	10	255	211	193
328.873383	263	0	15	18	22	260	208	183
329.080231	249	1	9	11	11	297	235	206
329.287048	249	1	12	25	15	277	200	217
329.4939	267	1	10	16	9	301	171	175
329.700745	285	1	7	13	12	289	185	186
329.9076	261	2	17	18	12	245	190	178
330.1144	284	0	11	15	22	273	207	234
330.321259	254	1	21	12	17	271	228	181
330.5281	246	1	9	15	20	260	170	187
330.734924	308	0	11	18	27	261	222	186
330.941772	285	2	11	13	19	270	189	181
331.148621	271	1	21	18	9	255	186	205
331.355438	299	1	11	13	11	263	209	197
331.5623	261	1	7	20	12	253	207	184
331.769135	272	0	6	17	22	237	193	179
331.975952	304	0	14	17	19	282	191	194
332.1828	272	1	13	19	15	245	204	202
332.389648	254	1	19	11	19	247	193	179
332.5965	283	0	10	12	17	243	197	197
332.8033	267	0	15	19	13	255	198	180
333.010162	252	1	17	16	10	253	192	167
333.217	250	1	10	14	19	273	193	191
333.423828	261	0	13	12	16	265	207	190
333.630676	227	2	10	14	22	265	211	175
333.837524	277	0	8	11	11	283	231	190
334.044342	271	0	16	12	16	245	194	175
334.2512	272	1	10	10	9	231	177	182
334.458038	253	1	7	20	17	248	208	172
334.664856	281	0	19	14	16	261	201	193
334.8717	263	0	13	12	18	239	204	188
335.078552	273	0	12	14	13	248	193	169
335.28537	253	0	9	15	16	237	186	196
335.492218	277	0	10	16	13	239	197	167
335.699066	263	1	12	20	17	251	184	187
335.905884	282	0	20	14	29	260	195	182
336.112732	277	1	11	14	18	260	166	218
336.31958	246	0	9	16	13	266	194	183
336.526428	252	1	12	21	17	232	171	167
336.733246	249	3	11	12	17	259	182	136
336.9401	261	0	17	13	17	249	180	168
337.146942	242	0	11	12	23	249	195	169
337.35376	257	2	8	21	15	236	196	168
337.5606	241	2	12	12	16	238	183	172
337.767456	267	0	16	9	16	242	187	177
337.974274	224	1	10	12	17	215	157	151
338.181122	260	0	14	9	16	236	189	167
338.38797	268	0	9	17	15	245	191	202
338.5948	243	2	9	12	23	229	188	162
338.801636	269	0	17	18	12	254	177	171
339.008484	289	0	8	15	15	250	178	193
339.215332	240	0	8	14	18	266	198	178
339.42215	244	0	8	12	23	274	185	177
339.629	215	2	17	9	20	234	196	176
339.835846	231	1	17	11	19	246	185	162
340.042664	253	0	11	17	19	235	187	181
340.2495	271	1	14	13	27	267	173	172
340.45636	247	0	14	17	20	244	214	157
340.663177	260	0	9	13	12	253	179	149
340.870026	233	1	10	21	11	226	200	175
341.076874	231	0	9	11	8	267	179	173
341.2837	247	0	9	11	20	244	169	170
341.49054	252	0	5	11	13	245	166	156
341.6974	245	0	15	14	10	204	191	165
341.9042	242	1	10	19	22	228	172	171
342.111053	242	0	12	12	17	233	181	170
342.3179	247	1	7	17	19	225	181	150
342.524719	216	1	17	19	13	247	186	171
342.731567	228	0	7	21	22	236	187	156
342.938416	246	1	8	25	16	264	177	170
343.145264	242	1	9	15	20	226	184	153
343.352081	247	1	10	11	23	228	174	168
343.558929	225	1	8	19	15	221	185	154
343.765778	250	1	12	15	18	216	185	174
343.9726	241	1	13	13	17	222	201	156
344.179443	244	0	15	11	15	242	179	157
344.3863	256	0	15	15	20	236	167	163
344.5931	178	1	9	17	19	223	157	168
344.799957	236	0	14	25	16	224	180	163
345.0068	244	0	12	18	23	257	194	150
345.213623	227	2	12	17	12	221	169	174
345.420471	212	1	13	9	14	211	175	149
345.627319	235	0	7	16	15	226	159	151
345.834167	223	1	12	15	15	202	167	184
346.041	229	1	14	13	23	231	188	190
346.247833	241	0	15	9	25	235	178	158
346.454681	206	1	14	14	11	234	164	153
346.6615	222	0	15	14	11	235	193	151
346.868347	251	1	10	14	14	213	203	180
347.0752	214	0	11	14	6	229	185	157
347.282	227	0	7	15	18	208	169	175
347.488861	237	0	10	16	16	236	181	170
347.6957	238	1	12	2	15	238	161	158
347.902527	232	0	12	11	18	239	178	149
348.109375	235	0	8	11	9	223	181	142
348.316223	203	0	12	15	10	219	171	175
348.523041	218	1	9	18	8	253	166	140
348.7299	241	1	5	14	18	224	161	151
348.936737	242	0	17	19	12	207	181	154
