ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
31.4394684	6800	1	2381	1910	1799	7245	6438	6659
31.646307	6769	2	2179	1848	1863	7049	6355	6391
31.8531456	6825	2	2247	1829	1720	7073	6380	6380
32.0599823	6651	0	2227	1793	1746	7023	6403	6589
32.2668228	6653	0	2124	1870	1773	6889	6309	6339
32.4736633	6774	0	2182	1715	1736	7093	6364	6468
32.6805	6630	0	2110	1779	1693	7086	6324	6425
32.8873367	6568	1	2103	1768	1673	6935	6319	6380
33.0941772	6692	0	1991	1728	1733	6969	6322	6430
33.3010178	6491	0	2026	1639	1614	6721	6243	6352
33.5078545	6647	0	2057	1691	1647	6993	6345	6346
33.71469	6454	0	2020	1620	1517	6968	6274	6233
33.92153	6582	0	1984	1580	1640	6947	6281	6378
34.1283722	6550	0	1957	1541	1526	6838	6253	6336
34.33521	6551	0	1873	1597	1574	6813	6189	6255
34.5420456	6368	1	1914	1598	1545	6778	6087	6196
34.7488861	6410	1	1910	1592	1498	6830	6236	6263
34.9557266	6349	0	1815	1496	1484	6688	6114	6241
35.1625633	6515	0	1784	1511	1431	6668	6214	6197
35.3694	6401	1	1815	1500	1446	6839	6069	6060
35.57624	6362	0	1791	1481	1376	6717	5957	6063
35.78308	6207	3	1803	1464	1429	6649	5961	6018
35.9899178	6304	1	1746	1519	1399	6636	5974	6142
36.1967545	6284	0	1719	1391	1401	6585	6012	6054
36.403595	6359	1	1682	1423	1333	6487	5943	6017
36.6104355	6190	0	1704	1440	1358	6634	6010	6072
36.8172722	6206	0	1635	1349	1376	6598	6066	6085
37.02411	6143	1	1609	1358	1315	6624	6074	5856
37.23095	6220	0	1562	1338	1264	6526	5840	5814
37.43779	6117	0	1581	1283	1315	6467	5896	5852
37.6446266	6178	0	1573	1334	1311	6644	5871	5974
37.8514633	6203	0	1579	1259	1268	6670	6035	5946
38.0583038	6197	0	1517	1297	1248	6436	5904	6026
38.2651443	6064	1	1506	1263	1246	6523	5804	5921
38.47198	6084	1	1557	1232	1190	6438	5943	6124
38.6788177	6247	1	1450	1232	1153	6578	5823	5862
38.88566	6172	1	1513	1281	1192	6445	5764	5828
39.0925	6060	0	1488	1231	1189	6518	5662	5770
39.2993355	6024	0	1491	1228	1184	6508	5709	5836
39.5061722	6034	1	1492	1219	1180	6336	5762	5791
39.7130127	5977	0	1349	1180	1144	6380	5756	5748
39.9198532	6032	1	1396	1191	1153	6321	5630	5826
40.12669	6112	0	1397	1180	1187	6442	5694	5787
40.3335266	6040	1	1399	1164	1072	6233	5602	5735
40.5403671	5892	0	1300	1167	1094	6235	5621	5726
40.7472076	5903	0	1356	1125	1093	6145	5625	5677
40.9540443	6108	0	1355	1124	1007	6234	5562	5722
41.16088	5980	0	1310	1095	1027	6211	5582	5558
41.36772	5971	0	1291	1087	1068	6294	5615	5641
41.5745621	5860	0	1311	1120	1015	6315	5613	5648
41.7814	5997	1	1231	1047	1051	6194	5501	5708
41.9882355	5753	1	1273	1041	990	6088	5602	5547
42.195076	5816	1	1281	1053	967	6191	5524	5626
42.4019165	5883	0	1188	1063	989	6204	5604	5510
42.6087532	6040	0	1220	1013	954	6067	5665	5667
42.81559	5902	1	1227	988	997	6135	5576	5588
43.02243	5843	0	1184	918	963	5992	5520	5612
43.22927	5726	2	1166	941	906	6155	5571	5367
43.4361076	5874	3	1184	971	958	6221	5406	5528
43.6429443	5844	0	1111	1011	918	6155	5386	5458
43.8497849	5682	2	1191	947	968	6079	5511	5298
44.0566254	5791	0	1173	964	885	6039	5423	5450
44.2634621	5906	0	1132	962	961	5941	5306	5502
44.4703	5719	1	1086	933	932	6116	5311	5372
44.67714	5706	0	1089	952	871	6013	5370	5404
44.88398	5670	0	1053	921	806	5955	5271	5461
