6						
236						
	psnf10hex 260:265-500	Psnf 10 260:265-500	pshex 260:265-500	pvthex 260:265-500	pvtcef3 260:265-500	pvt-cef3 260:265-500
X	Y	Y	Y	Y	Y	Y
437	12481.1	8539.26	1640.71	3553.34	3513.27	2521.68
438	12632.1	8398.63	1750.81	3673.57	3212.73	2581.76
439	12199.2	8609.58	1600.68	3302.89	2972.34	2641.85
440	11756.5	7936.64	1860.92	3533.3	3182.68	2211.29
441	10901.4	7906.51	1770.83	3232.77	2912.24	2241.33
442	10629.8	7113.37	1610.69	3383.03	2882.2	2111.18
443	9815.43	7394.45	1720.78	3202.71	2952.31	1981.04
444	10187.4	7755.89	1470.57	3483.21	2741.99	1941
445	9373.2	6471.07	1380.5	2922.26	2992.37	1930.99
446	9905.9	6290.46	1640.71	2812.09	2671.89	2311.41
447	8810.5	6079.77	1550.64	2812.09	2481.63	2031.09
448	9403.34	6491.14	1400.52	2962.32	2341.45	2101.17
449	8509.12	5818.95	1390.51	2601.79	2441.58	1941
450	8227.88	5969.42	1420.53	2421.55	2341.45	1730.79
451	7806.1	5497.99	1390.51	2581.76	2591.78	1981.04
452	7243.87	5347.56	1260.42	2241.33	2241.33	1860.92
453	6962.81	5066.79	1280.43	2281.38	2121.19	2141.21
454	7374.37	5066.79	1290.44	2511.67	2161.24	1570.65
455	6912.63	5046.74	1460.56	2291.39	2091.16	1660.73
456	6360.69	5056.76	1420.53	1830.89	2191.27	2011.07
457	6491.14	4525.42	1280.43	2321.43	1900.96	1720.78
458	6200.16	4274.83	1430.54	2071.14	2041.1	1560.65
459	6310.53	4134.52	1040.29	1910.97	1740.8	1580.66
460	6139.97	4355.02	1190.38	1840.9	1690.76	1530.62
461	5548.14	4284.86	1300.45	2181.26	1790.85	1460.56
462	5247.28	3904.03	1320.46	1710.78	1340.48	1380.5
463	5227.23	3803.83	1000.27	2071.14	1850.91	1390.51
464	5347.56	3823.87	1200.38	1920.98	1550.64	1520.61
465	5327.51	3793.81	1170.36	1810.87	1540.63	1160.36
466	5387.68	3493.23	1240.41	1550.64	1790.85	1510.6
467	4826.16	3863.95	1060.3	1560.65	1510.6	1320.46
468	4645.71	3312.9	1140.34	1690.76	1790.85	1320.46
469	4535.44	3212.73	1280.43	1630.7	1820.88	1480.58
470	4505.37	3292.87	1280.43	1770.83	1730.79	1410.53
471	4365.04	3322.92	1100.32	1780.84	1500.6	1360.49
472	4274.83	3373.01	1290.44	1510.6	1610.69	1070.3
473	4194.65	3413.08	1060.3	1450.56	1460.56	1200.38
474	3673.57	3563.36	1160.36	1540.63	1620.7	1160.36
475	3593.42	2782.05	1000.27	1540.63	1540.63	1370.5
476	3603.44	2691.92	970.249	1190.38	1230.4	1330.47
477	3352.98	2581.76	960.244	1270.43	1370.5	1080.31
478	3673.57	2531.7	1170.36	1330.47	1390.51	1000.27
479	3523.28	2571.75	990.26	1360.49	1370.5	1310.45
480	3302.89	2882.2	1120.33	1470.57	1350.48	1160.36
481	2882.2	2621.82	1200.38	1290.44	1330.47	1240.41
482	3292.87	2691.92	1210.39	1330.47	1380.5	1100.32
483	3002.39	2551.72	1290.44	1320.46	1070.3	1060.3
484	3122.58	2181.26	1040.29	1200.38	1170.36	990.26
485	2711.95	2501.66	970.249	1490.59	1420.53	1050.29
486	2802.08	2171.25	880.205	1250.41	1250.41	1150.35
487	2992.37	2151.23	980.255	1240.41	1110.33	1020.28
488	2301.4	2231.32	840.187	1320.46	1360.49	1050.29
489	2171.25	2071.14	910.219	1250.41	1230.4	1150.35
490	2321.43	1840.9	740.145	1260.42	1130.34	1020.28
491	2271.37	2001.06	1060.3	1050.29	1260.42	830.183
492	2171.25	1730.79	990.26	1130.34	1000.27	1130.34
493	2171.25	2001.06	1020.28	1160.36	950.239	770.157
494	2231.32	2201.28	870.201	870.201	1190.38	1080.31
495	2311.41	1910.97	930.229	990.26	1240.41	950.239
496	1951.01	1810.87	900.215	980.255	1270.43	1150.35
497	2061.12	1760.82	880.205	930.229	1000.27	920.224
498	1951.01	1600.68	970.249	980.255	1080.31	1040.29
499	1830.89	1530.62	910.219	1210.39	1130.34	990.26
500	1850.91	1480.58	960.244	930.229	940.234	1080.31
